accuracy,loss,val_accuracy,val_loss,learning_rate
0.9436426162719727,0.8336198329925537,0.8694267272949219,0.9794638156890869,0.0003000000142492354
0.9965635538101196,0.5478587746620178,0.8720248341560364,1.0298831462860107,0.0003000000142492354
0.9975454211235046,0.4569862186908722,0.8747066855430603,0.9637020230293274,0.0003000000142492354
0.9979381561279297,0.3877035677433014,0.8697620034217834,0.9056142568588257,0.0003000000142492354
0.9968581199645996,0.33669930696487427,0.8690077066421509,1.0502779483795166,0.0003000000142492354
0.9984290599822998,0.28686022758483887,0.8631411194801331,0.9607975482940674,0.0003000000142492354
0.9987236261367798,0.24663841724395752,0.8645658493041992,1.0555858612060547,0.0003000000142492354
0.9988217949867249,0.2132876217365265,0.8666610717773438,0.8847465515136719,0.0003000000142492354
0.9992145299911499,0.18193656206130981,0.8675829768180847,0.972049355506897,0.0003000000142492354
0.9983308911323547,0.15848520398139954,0.8732819557189941,0.6872442364692688,0.0003000000142492354
0.9976435899734497,0.1417541801929474,0.8852664828300476,0.7212666869163513,0.0003000000142492354
0.9987236261367798,0.12321947515010834,0.8736171722412109,0.8203624486923218,0.0003000000142492354
0.9988217949867249,0.10690310597419739,0.8742876052856445,0.785108208656311,0.0003000000142492354
0.9984290599822998,0.09596133232116699,0.8683372735977173,1.005754828453064,0.0003000000142492354
0.9990181922912598,0.08467056602239609,0.8681696057319641,1.0144463777542114,0.0003000000142492354
0.9984290599822998,0.0767567902803421,0.8711029291152954,0.927779495716095,0.0001500000071246177
0.9992145299911499,0.0712491050362587,0.8690077066421509,0.8853094577789307,0.0001500000071246177
0.9995090961456299,0.06613817811012268,0.8657391667366028,0.9624385833740234,0.0001500000071246177
0.999312698841095,0.06317098438739777,0.8661582469940186,0.9042416214942932,0.0001500000071246177
